Kehadiran_Semester_1,Kehadiran_Semester_2,Nilai_Rata_Semester_1,Nilai_Rata_Semester_2,Jumlah_Pelanggaran,Pendidikan_Ayah,Pendidikan_Ibu,Status_Keluarga,Jumlah_Saudara,Jarak_Rumah_km,Status_SPP,Penerima_Beasiswa,Penghasilan_Ortu,Tanggungan_Keluarga,Status
88,97,91.4,52.6,10,1,5,2,2,1.1,0,0,3,1,Dropout
78,70,40.4,90.0,14,3,3,1,3,3.1,0,1,2,3,Dropout
64,88,52.4,40.1,4,5,3,1,0,2.8,1,0,1,4,Dropout
92,85,60.1,70.6,19,3,3,2,2,1.8,0,0,3,7,Dropout
57,82,66.8,81.6,9,3,3,1,1,1.1,1,0,2,5,Non-Dropout
70,79,86.8,54.2,11,1,1,1,3,0.5,0,0,2,2,Dropout
88,86,44.8,50.6,14,3,3,1,2,10.9,1,0,1,4,Dropout
68,72,84.3,44.6,16,4,2,1,0,2.7,1,1,2,5,Non-Dropout
72,59,43.1,58.0,9,2,3,1,5,3.4,1,0,4,1,Dropout
60,54,86.3,70.8,5,4,4,1,4,12.4,1,1,2,2,Dropout
60,85,42.8,46.4,17,5,4,3,4,7.5,1,0,2,5,Dropout
73,83,41.0,60.7,12,2,3,1,0,0.7,1,0,3,5,Non-Dropout
85,80,78.3,40.5,2,3,3,2,0,4.2,1,0,3,3,Non-Dropout
89,59,94.8,85.0,9,2,1,1,4,2.9,1,0,2,6,Non-Dropout
73,68,89.3,47.1,13,4,4,1,5,8.0,1,0,2,4,Dropout
52,81,71.7,55.6,5,3,2,3,2,6.4,1,1,4,3,Non-Dropout
71,50,90.5,41.0,2,3,3,1,4,5.9,1,1,3,7,Dropout
51,54,40.3,63.8,15,4,2,1,0,2.1,1,1,1,2,Dropout
73,94,93.6,86.2,6,2,1,1,3,8.2,1,1,1,6,Non-Dropout
93,53,67.0,61.6,19,5,3,1,1,0.5,1,0,2,5,Non-Dropout
79,65,79.8,49.9,13,3,1,2,5,0.9,0,0,2,3,Dropout
87,73,85.1,81.5,8,2,3,3,5,2.0,0,0,2,6,Dropout
51,65,79.5,83.4,14,3,2,1,3,0.5,1,0,4,7,Non-Dropout
70,51,69.4,49.6,2,4,1,1,3,1.3,0,0,1,4,Dropout
82,98,66.2,82.4,1,2,3,1,0,8.9,1,0,3,7,Non-Dropout
61,77,86.1,92.1,1,5,1,2,4,14.8,1,0,2,2,Non-Dropout
71,81,51.3,49.2,2,5,2,1,2,1.8,1,0,3,1,Dropout
